Cod_Estab,measure_L,measure_M
15-04-0141-43,-0.911,-0.012
15-04-0145-43,-0.209,0.249
15-04-0141-43,-0.412,0.0
15-04-0145-43,-0.832,-0.286
15-04-0141-43,-0.545,-1.41
15-04-0141-43,0.075,-0.369
15-04-0141-43,-0.991,-0.146
15-04-0145-43,0.305,-0.088
15-04-0325-43,-0.162,-0.288
15-04-0325-43,-0.684,-0.369
15-04-0325-43,0.305,-0.611
15-04-0145-43,0.031,-0.369
15-04-0145-43,1.859,-0.147
15-04-0325-43,-0.991,-0.279
15-04-0325-43,0.262,0.265
15-04-0145-43,-0.684,0.249
15-04-0325-43,-0.335,0.134
15-04-0145-43,0.488,0.128
15-04-0145-43,1.454,0.254
15-04-0325-43,-0.087,-0.783
15-04-0141-43,-0.087,-0.59
15-04-0141-43,0.375,-1.32
15-04-0145-43,-0.087,-0.279
15-04-0325-43,-1.084,-0.519
15-04-0325-43,-0.752,-0.436
15-04-0141-43,-0.911,-0.969
15-04-0145-43,0.075,-0.007
15-04-0145-43,-0.911,-0.677
15-04-0325-43,-0.467,0.505
15-04-0325-43,-0.832,-0.426
15-04-0145-43,0.262,-0.519
15-04-0325-43,-0.832,0.12
15-04-0145-43,-0.335,-0.743
15-04-0145-43,1.398,1.041
15-04-0141-43,-0.335,-0.928
15-04-0325-43,-0.545,-0.088
15-04-0141-43,0.075,-1.176
15-04-0145-43,0.885,-0.519
15-04-0325-43,-0.209,0.254
15-04-0141-43,-0.285,0.249
15-04-0141-43,-0.752,0.249
15-04-0325-43,-0.752,-1.303
15-04-0145-43,0.766,-0.677
15-04-0145-43,0.031,0.515
15-04-0141-43,0.715,-0.426
15-04-0145-43,0.191,0.0
15-04-0145-43,0.766,0.394
15-04-0145-43,-0.467,-0.741
15-04-0325-43,-0.209,-0.677
06-01-0006-43,1.32,0.775
06-01-0008-43,0.488,0.177
06-01-0024-43,-0.545,0.046
06-01-0024-43,2.466,1.197
06-01-0006-43,-0.991,0.925
06-01-0006-43,-1.165,-0.146
06-01-0006-43,2.283,0.688
06-01-0024-43,-0.467,0.261
06-01-0024-43,-0.209,-0.677
06-01-0006-43,0.715,0.12
06-01-0008-43,-0.412,0.0
06-01-0008-43,-0.209,-1.117
06-01-0006-43,-1.496,-0.426
06-01-0006-43,1.859,1.322
06-01-0024-43,0.031,-0.783
06-01-0006-43,0.715,0.525
06-01-0006-43,1.191,0.633
06-01-0006-43,0.83,0.396
06-01-0006-43,0.948,1.165
06-01-0024-43,0.375,-0.43
06-01-0006-43,3.52,2.725
06-01-0024-43,0.885,0.525
06-01-0008-43,2.735,1.062
06-01-0024-43,0.948,0.396
06-01-0006-43,1.007,0.0
06-01-0006-43,0.488,0.787
06-01-0008-43,0.075,-0.519
06-01-0024-43,0.534,-0.012
06-01-0008-43,0.715,-0.012
06-01-0006-43,0.766,-0.43
06-01-0006-43,3.52,0.907
06-01-0006-43,1.595,1.361
06-01-0006-43,-0.412,0.394
06-01-0024-43,1.398,0.515
06-01-0006-43,0.534,0.505
06-01-0006-43,3.105,2.228
06-01-0006-43,0.075,0.907
06-01-0006-43,1.454,-0.288
06-01-0008-43,-0.911,-1.176
06-01-0008-43,-0.684,-0.43
06-01-0006-43,1.542,0.433
06-01-0006-43,0.075,-0.426
06-01-0006-43,1.132,0.305
06-01-0006-43,0.715,0.515
13-04-0243-43,0.147,-0.426
13-04-0263-43,0.075,-0.299
13-04-0243-43,-0.752,0.046
13-04-0242-43,1.007,0.177
13-04-0263-43,0.262,-0.677
13-04-0263-43,0.948,-0.426
13-04-0242-43,2.038,0.656
13-04-0242-43,0.766,-0.007
13-04-0263-43,0.375,0.657
13-04-0263-43,0.075,-0.147
13-04-0242-43,0.305,0.763
13-04-0242-43,2.038,-0.014
13-04-0242-43,0.031,-0.677
13-04-0242-43,1.32,0.645
13-04-0263-43,0.375,-0.147
13-04-0263-43,0.191,0.128
13-04-0242-43,0.885,-0.286
13-04-0243-43,0.488,-0.288
13-04-0242-43,0.262,0.657
13-04-0243-43,-0.412,-0.519
13-04-0243-43,1.32,0.645
13-04-0243-43,0.031,0.505
13-04-0263-43,0.649,0.134
13-04-0242-43,3.105,0.385
13-04-0263-43,-0.832,-0.581
13-04-0242-43,0.601,0.787
13-04-0243-43,-0.684,-0.426
13-04-0242-43,-0.162,0.046
13-04-0242-43,0.649,0.656
13-04-0242-43,0.262,0.265
13-04-0243-43,0.031,-1.109
13-04-0243-43,0.42,0.128
13-04-0242-43,-0.042,0.261
13-04-0243-43,-0.087,-0.288
13-04-0242-43,0.948,-0.088
13-04-0242-43,-0.209,-0.436
13-04-0263-43,0.488,0.122
13-04-0263-43,-0.545,0.177
13-04-0242-43,1.191,0.505
13-04-0263-43,1.262,1.204
13-04-0263-43,0.147,-0.012
13-04-0263-43,-0.335,0.254
13-04-0243-43,0.075,-0.581
13-04-0242-43,-0.467,-0.146
13-04-0263-43,-0.832,-1.109
13-04-0243-43,-1.359,-0.783
13-04-0243-43,0.766,-2.024
13-04-0263-43,0.031,-0.519
13-04-0242-43,1.132,-0.611
13-04-0263-43,0.766,0.775
13-04-0242-43,0.948,0.12
13-04-0263-43,0.147,0.79
13-04-0263-43,0.031,-0.138
14-10-0392-43,-4.558,-1.466
14-10-0384-43,-0.335,-0.928
14-10-0386-43,-3.332,-3.226
14-10-0392-43,-1.839,-0.969
14-10-0386-43,0.075,-1.685
14-10-0392-43,-1.579,-0.226
14-10-0386-43,-0.087,-0.754
14-10-0386-43,-0.991,-1.109
14-10-0386-43,0.075,-1.466
14-10-0386-43,0.075,-3.376
14-10-0386-43,-0.335,-1.32
14-10-0386-43,-0.209,-1.737
14-10-0386-43,-0.162,-2.601
14-10-0392-43,-0.752,-1.117
14-10-0386-43,-0.467,-1.176
14-10-0386-43,-0.911,-1.685
14-10-0392-43,-0.752,-0.012
14-10-0386-43,-1.496,-4.673
14-10-0386-43,-0.752,-0.43
14-10-0386-43,-0.412,-2.146
14-10-0392-43,-4.558,-1.098
14-10-0386-43,0.075,-1.842
14-10-0386-43,-0.209,-2.176
14-10-0392-43,-0.832,-1.176
14-10-0386-43,-2.163,-1.685
14-10-0384-43,-0.684,-0.611
14-10-0392-43,-0.605,-0.45
14-10-0386-43,-0.209,-0.847
14-10-0392-43,-0.087,-0.436
14-10-0392-43,-0.911,-0.519
14-10-0386-43,-0.545,-1.561
14-10-0392-43,-0.335,-0.279
14-10-0392-43,-2.518,-1.41
14-10-0386-43,-0.335,-2.601
14-10-0384-43,-0.545,-0.369
14-10-0392-43,-4.558,-0.918
14-10-0386-43,-4.471,-2.632
14-10-0392-43,-4.471,-1.031
14-10-0392-43,-2.518,-0.741
14-10-0392-43,-4.471,-0.288
14-10-0384-43,-0.335,-0.918
14-10-0392-43,-2.163,-0.59
14-10-0392-43,-0.162,-0.138
14-10-0392-43,-0.285,-1.303
14-10-0392-43,-0.991,-0.928
14-10-0392-43,-2.518,-1.109
14-10-0386-43,-4.558,-4.499
10-02-0105-43,-0.285,-0.59
10-02-0023-43,0.885,0.633
10-02-0105-43,0.488,0.394
10-02-0017-43,1.595,1.322
10-02-0023-43,1.262,-0.088
10-02-0023-43,-0.467,-0.45
10-02-0023-43,1.908,1.165
10-02-0023-43,0.375,-0.677
10-02-0017-43,0.375,1.062
10-02-0017-43,1.908,0.433
10-02-0105-43,-0.335,0.305
10-02-0017-43,1.32,0.505
10-02-0023-43,-0.545,-1.117
10-02-0105-43,2.085,1.629
10-02-0023-43,0.83,-0.436
10-02-0023-43,0.262,-0.279
10-02-0017-43,0.534,-0.146
10-02-0105-43,0.262,0.525
10-02-0105-43,0.191,0.122
10-02-0105-43,1.262,0.921
10-02-0017-43,3.52,2.182
10-02-0017-43,0.715,0.526
10-02-0017-43,2.238,1.668
10-02-0105-43,0.075,-0.45
10-02-0017-43,1.068,1.307
10-02-0105-43,1.454,0.763
10-02-0023-43,0.488,0.394
10-02-0105-43,0.375,0.134
10-02-0105-43,2.735,-0.45
10-02-0105-43,0.601,0.385
10-02-0023-43,-0.285,-0.154
10-02-0023-43,0.191,0.526
10-02-0017-43,1.132,0.261
10-02-0105-43,-0.087,0.787
10-02-0105-43,0.031,-0.147
10-02-0105-43,-0.752,0.122
10-02-0105-43,-0.087,0.177
10-02-0105-43,2.038,-0.43
10-02-0105-43,0.031,0.12
10-02-0017-43,1.132,1.081
10-02-0017-43,1.694,0.378
10-02-0017-43,1.132,0.787
10-02-0105-43,-0.162,0.046
10-02-0105-43,0.075,-0.369
10-02-0105-43,0.601,-0.918
10-02-0105-43,1.542,1.836
10-02-0105-43,-0.285,0.046
10-02-0105-43,1.007,-0.007
10-02-0105-43,0.649,0.633
10-02-0105-43,-0.209,0.79
10-02-0105-43,1.007,0.134
17-08-0144-43,0.42,1.503
17-08-3509-43,-0.545,
17-08-0144-43,2.038,0.656
17-08-3509-43,0.375,
17-08-3509-43,-0.209,0.394
17-08-0144-43,1.595,0.525
17-08-0144-43,0.031,0.177
17-08-0144-43,0.601,0.12
17-08-0141-43,1.007,1.204
17-08-0141-43,1.068,0.775
17-08-0141-43,2.038,0.12
17-08-3509-43,0.305,0.305
17-08-3509-43,1.908,0.526
17-08-0144-43,2.085,1.204
17-08-3509-43,1.398,-0.611
17-08-3509-43,-0.467,-0.012
17-08-0144-43,-0.335,-0.299
17-08-3509-43,-0.991,0.122
17-08-0144-43,-0.162,-0.154
17-08-0141-43,1.32,0.0
17-08-0141-43,0.375,-0.147
17-08-0144-43,-0.285,0.0
17-08-0141-43,1.007,0.526
17-08-3509-43,0.147,-0.279
17-08-0141-43,1.262,-0.088
17-08-0144-43,1.908,0.775
17-08-0144-43,0.83,1.307
17-08-0144-43,0.305,1.456
17-08-0141-43,0.601,0.816
17-08-0144-43,1.262,1.664
17-08-0144-43,-0.832,0.254
17-08-0144-43,0.83,-0.279
17-08-0141-43,0.191,-0.299
17-08-0144-43,0.83,0.787
17-08-0144-43,0.766,0.633
17-08-0141-43,0.948,-0.007
17-08-0144-43,-0.209,-0.226
17-08-3509-43,-0.467,0.128
17-08-0144-43,0.766,-1.031
17-08-0144-43,2.466,-1.031
17-08-0141-43,1.132,1.057
22-09-0359-43,0.147,-0.279
22-09-0362-43,-0.752,-0.43
22-09-0358-43,-0.684,-0.014
22-09-0362-43,1.191,0.177
22-09-0359-43,0.262,-0.369
22-09-0358-43,0.191,-0.088
22-09-0359-43,0.83,0.254
22-09-0362-43,0.948,-0.783
22-09-0362-43,-0.412,0.177
22-09-0362-43,0.488,0.265
22-09-0359-43,-0.467,-0.43
22-09-0359-43,-0.162,-2.146
22-09-0359-43,-1.579,-1.41
22-09-0358-43,0.534,-0.43
22-09-0359-43,-0.684,-0.754
22-09-0358-43,0.83,-0.088
22-09-0362-43,0.83,0.385
22-09-0359-43,0.885,0.12
22-09-0362-43,0.42,-0.146
22-09-0362-43,-0.285,-0.928
22-09-0358-43,0.031,-0.969
22-09-0358-43,1.132,-0.007
22-09-0358-43,1.746,0.775
22-09-0362-43,0.534,-1.842
22-09-0359-43,-0.911,-1.842
22-09-0358-43,-0.209,1.204
22-09-0358-43,1.068,1.613
22-09-0358-43,0.191,-0.59
22-09-0359-43,0.262,-0.918
22-09-0359-43,-0.832,-1.737
22-09-0359-43,-0.209,-0.969
22-09-0362-43,-0.832,0.046
22-09-0358-43,1.595,0.396
22-09-0359-43,0.375,-1.41
22-09-0362-43,-0.335,-2.66
22-09-0362-43,-0.545,-1.176
22-09-0362-43,1.007,0.378
22-09-0362-43,-0.545,0.261
22-09-0359-43,0.766,-0.59
22-09-0358-43,0.766,-0.299
22-09-0362-43,-0.209,0.261
22-09-0359-43,0.031,-1.536
22-09-0359-43,-1.165,-1.41
22-09-0359-43,0.075,-0.45
22-09-0358-43,0.83,0.249
22-09-0359-43,-0.087,-1.466
22-09-0358-43,-0.162,0.56
22-09-0358-43,2.283,0.394
22-09-0358-43,5.524,1.613
22-09-0359-43,0.191,-0.088
22-09-0358-43,1.262,0.265
22-09-0362-43,-1.496,-0.743
22-09-0359-43,-4.471,-2.66
22-09-0359-43,-0.832,-1.737
22-09-0362-43,-0.335,-0.299
22-09-0359-43,-0.042,-0.138
22-09-0359-43,-0.285,-0.754
22-09-0359-43,-1.579,-0.677
22-09-0362-43,-0.209,-0.436
22-09-0359-43,-1.496,-1.303
22-09-0359-43,-1.084,-0.969
22-09-0362-43,-0.285,0.249
22-09-0362-43,1.007,0.134
22-09-0359-43,-0.335,-1.325
22-09-0358-43,2.038,0.305
22-09-0362-43,0.488,-0.43
22-09-0362-43,-0.605,-0.147
22-09-0359-43,-0.684,-0.847
22-09-0362-43,-0.911,0.046
22-09-0359-43,0.766,0.261
22-09-0362-43,-0.605,-0.146
22-09-0359-43,-1.579,-0.43
22-09-0359-43,0.305,0.0
22-09-0359-43,-0.467,-0.928
22-09-0362-43,1.132,0.633
22-09-0359-43,0.601,-0.146
22-09-0358-43,0.375,1.197
22-09-0362-43,0.305,-0.426
22-09-0362-43,-0.412,0.122
22-09-0362-43,-1.359,-0.088
22-09-0362-43,0.948,-0.369
11-09-0274-43,-0.467,0.394
11-09-0378-43,0.262,0.525
11-09-0270-43,0.948,0.177
11-09-0270-43,0.948,0.134
11-09-0274-43,-0.285,-1.561
11-09-0274-43,-0.042,-0.279
11-09-0274-43,-0.991,0.515
11-09-0270-43,-0.042,0.265
11-09-0274-43,0.191,-0.783
11-09-0378-43,0.488,0.56
11-09-0270-43,0.147,0.12
11-09-0270-43,-0.832,-0.288
11-09-0274-43,0.766,0.128
11-09-0378-43,1.191,0.128
11-09-0274-43,-0.285,-0.741
11-09-0274-43,-0.087,-0.918
11-09-0270-43,0.031,-0.288
11-09-0270-43,-0.752,-0.226
11-09-0274-43,0.031,-0.847
11-09-0270-43,0.262,-0.299
11-09-0274-43,0.147,-1.235
11-09-0378-43,-0.042,0.505
11-09-0274-43,0.948,0.505
11-09-0270-43,2.466,1.218
11-09-0274-43,-0.335,0.787
11-09-0274-43,1.859,0.56
11-09-0270-43,1.859,0.893
11-09-0378-43,0.375,0.775
11-09-0378-43,1.007,0.378
11-09-0274-43,0.601,-0.436
11-09-0378-43,1.542,1.204
11-09-0378-43,0.488,0.816
11-09-0378-43,0.766,-0.43
11-09-0270-43,0.031,0.122
11-09-0270-43,0.83,0.657
11-09-0270-43,0.715,0.56
11-09-0270-43,0.885,-0.014
11-09-0270-43,0.305,0.657
11-09-0274-43,0.031,0.515
11-09-0274-43,-0.412,-0.928
11-09-0274-43,-0.545,-1.176
11-09-0270-43,0.83,0.645
11-09-0274-43,0.375,-0.58
11-09-0274-43,-0.335,-1.098
11-09-0270-43,-0.684,-1.32
11-09-0378-43,1.859,0.656
11-09-0270-43,0.147,0.134
11-09-0270-43,-0.545,-0.014
11-09-0378-43,0.715,1.179
11-09-0270-43,1.132,0.526
11-09-0274-43,-0.605,-0.45
11-09-0274-43,0.649,0.134
11-09-0274-43,-0.285,0.177
11-09-0378-43,0.191,0.656
11-09-0274-43,-0.209,-1.685
11-09-0270-43,1.262,1.027
11-09-0378-43,-0.335,0.775
11-09-0274-43,0.075,0.177
11-09-0270-43,1.398,0.688
11-09-0274-43,0.766,-0.581
11-09-0270-43,0.715,0.505
11-09-0274-43,0.262,0.12
18-03-0212-43,-0.162,-1.561
18-03-0187-43,0.375,0.526
18-03-0187-43,0.147,0.526
18-03-0212-43,0.075,-0.847
18-03-0187-43,1.454,0.645
18-03-0187-43,-0.087,-0.288
18-03-0187-43,0.375,-0.286
18-03-0212-43,-0.605,-1.176
18-03-0212-43,0.075,-0.677
18-03-0212-43,-0.911,-1.32
18-03-0580-43,0.766,-0.007
18-03-0212-43,-0.209,-1.109
18-03-0580-43,-0.209,-0.288
18-03-0187-43,1.007,1.826
18-03-0580-43,-0.467,-0.45
18-03-0187-43,-0.605,-1.031
18-03-0187-43,0.601,1.062
18-03-0212-43,-0.832,-0.741
18-03-0580-43,-1.579,-0.847
18-03-0187-43,0.83,0.645
18-03-0187-43,0.601,0.657
18-03-0187-43,1.859,1.041
18-03-0187-43,0.375,-0.226
18-03-0212-43,-0.335,-0.436
18-03-0580-43,0.488,0.893
18-03-0580-43,0.649,0.657
18-03-0212-43,-0.545,-0.279
18-03-0212-43,-0.545,-1.41
18-03-0212-43,0.075,-0.754
18-03-0187-43,1.542,0.893
18-03-0580-43,-0.162,-2.024
18-03-0580-43,0.147,-0.426
18-03-0580-43,0.649,0.396
18-03-0187-43,1.398,1.35
18-03-0187-43,0.649,0.261
18-03-0187-43,0.191,0.046
18-03-0212-43,-0.412,-0.426
18-03-0187-43,-0.684,-0.299
18-03-0212-43,-0.911,-0.912
18-03-0212-43,-0.911,-0.519
18-03-0212-43,-0.209,-0.928
18-03-0187-43,0.766,0.79
18-03-0187-43,1.542,0.305
18-03-0187-43,0.375,0.0
18-03-0212-43,-0.042,-0.783
18-03-0212-43,-0.545,-0.581
18-03-0187-43,0.305,0.645
18-03-0212-43,-0.335,-0.286
18-03-0580-43,-0.335,-0.426
18-03-0212-43,0.031,-2.481
18-03-0187-43,0.649,0.656
18-03-0580-43,0.262,-0.43
18-03-0580-43,0.42,0.893
18-03-0580-43,-0.545,-0.611
18-03-0580-43,-0.605,-0.226
18-03-0187-43,-0.162,0.046
18-03-0187-43,0.147,0.893
18-03-0580-43,-0.209,-0.146
18-03-0187-43,0.948,0.763
18-03-0187-43,1.398,-0.147
18-03-0580-43,-0.042,-0.226
02-05-0122-43,2.283,-0.611
02-05-0114-43,1.694,0.656
02-05-0122-43,0.075,0.515
02-05-0114-43,1.262,0.925
02-05-0122-43,0.147,0.394
02-05-0114-43,2.509,-0.288
02-05-0114-43,1.908,1.027
02-05-0122-43,1.694,0.925
02-05-0129-43,1.007,0.385
02-05-0129-43,1.132,0.046
02-05-0114-43,1.454,0.305
02-05-0129-43,2.038,0.79
02-05-0114-43,0.766,0.633
02-05-0114-43,1.542,0.122
02-05-0122-43,1.132,0.396
02-05-0122-43,0.601,0.394
02-05-0129-43,2.509,0.657
02-05-0122-43,1.454,0.645
02-05-0129-43,0.488,-0.012
02-05-0122-43,-0.684,0.046
02-05-0122-43,2.735,1.062
02-05-0114-43,4.259,1.655
02-05-0114-43,2.283,0.775
02-05-0122-43,1.068,-0.286
02-05-0122-43,1.132,0.505
02-05-0122-43,0.42,0.515
02-05-0129-43,1.595,0.515
02-05-0122-43,1.398,0.305
02-05-0129-43,2.283,0.656
02-05-0122-43,-0.467,0.249
02-05-0122-43,0.83,0.177
02-05-0114-43,0.601,-0.426
02-05-0122-43,-0.087,-0.138
02-05-0122-43,-0.209,0.305
02-05-0114-43,-0.285,-1.235
02-05-0114-43,1.068,1.322
02-05-0114-43,1.007,-0.226
02-05-0114-43,-0.209,0.633
02-05-0114-43,1.746,1.836
02-05-0114-43,-0.285,-0.154
02-05-0114-43,1.068,2.013
02-05-0114-43,-0.545,0.79
02-05-0122-43,1.32,0.787
02-05-0122-43,-0.412,-0.138
09-19-0564-43,1.262,0.515
09-19-0910-43,0.42,0.657
09-19-0910-43,-0.042,0.633
09-19-0564-43,0.075,0.385
09-19-0564-43,1.908,1.307
09-19-0564-43,-1.084,-0.226
09-19-0002-43,-0.752,0.433
09-19-0910-43,0.375,0.396
09-19-0910-43,1.746,0.907
09-19-0002-43,-0.087,-0.969
09-19-0564-43,0.649,0.265
09-19-0910-43,0.885,0.775
09-19-0564-43,-0.605,-0.012
09-19-0564-43,0.885,0.394
09-19-0564-43,0.83,1.218
09-19-0564-43,1.454,1.35
09-19-0910-43,1.007,1.179
09-19-0564-43,1.908,1.471
09-19-0564-43,0.191,0.177
09-19-0564-43,0.534,0.526
09-19-0564-43,0.649,1.062
09-19-0910-43,1.398,1.668
09-19-0910-43,0.83,0.433
09-19-0564-43,2.466,1.51
09-19-0910-43,0.885,0.656
09-19-0910-43,-0.285,0.378
09-19-0910-43,0.075,-0.754
09-19-0564-43,0.83,0.925
09-19-0564-43,1.859,1.204
09-19-0910-43,1.908,2.395
09-19-0910-43,-0.209,-0.014
09-19-0910-43,1.32,1.204
09-19-0910-43,0.375,0.134
09-19-0564-43,0.191,0.505
09-19-0564-43,-0.467,0.265
09-19-0910-43,0.885,1.057
09-19-0002-43,-0.752,-0.007
09-19-0564-43,1.191,0.907
09-19-0564-43,1.132,1.98
09-19-0564-43,0.885,0.249
09-19-0002-43,0.534,-0.58
09-19-0564-43,1.454,0.134
09-19-0564-43,1.454,0.787
09-19-0564-43,0.715,-0.147
09-19-0564-43,1.398,0.305
09-19-0564-43,1.454,0.925
09-19-0910-43,0.375,0.79
09-19-0002-43,0.305,0.249
09-19-0910-43,0.948,1.51
22-02-0150-43,0.715,1.204
22-02-0150-43,0.83,-0.279
22-02-0141-43,0.948,0.433
22-02-0139-43,1.007,-0.288
22-02-0150-43,-0.042,-0.226
22-02-0139-43,2.038,0.265
22-02-0150-43,0.948,0.0
22-02-0139-43,0.031,0.177
22-02-0139-43,0.83,0.134
22-02-0150-43,0.147,0.633
22-02-0139-43,2.735,0.763
22-02-0150-43,0.83,0.907
22-02-0139-43,1.908,0.505
22-02-0139-43,0.715,0.378
22-02-0139-43,0.601,0.633
22-02-0139-43,2.283,0.526
22-02-0139-43,1.454,0.394
22-02-0150-43,0.375,0.177
22-02-0150-43,-0.412,-0.014
22-02-0139-43,0.262,-1.117
22-02-0139-43,1.694,-0.45
22-02-0150-43,0.885,-0.007
22-02-0139-43,1.595,1.041
22-02-0139-43,0.42,0.128
22-02-0139-43,1.191,0.394
22-02-0150-43,2.238,0.046
22-02-0139-43,1.694,0.688
22-02-0141-43,0.885,0.261
22-02-0150-43,0.534,-0.58
22-02-0150-43,1.454,0.79
22-02-0141-43,-0.605,-1.41
22-02-0141-43,-0.335,-1.842
22-02-0141-43,1.068,1.165
22-02-0139-43,2.085,1.218
22-02-0150-43,1.191,0.12
22-02-0139-43,2.085,0.254
22-02-0139-43,1.908,-0.743
22-02-0150-43,2.466,1.041
22-02-0139-43,2.038,0.688
22-02-0139-43,0.305,0.249
22-02-0139-43,1.262,0.56
22-02-0141-43,3.068,0.656
22-02-0139-43,1.542,0.515
22-02-0141-43,0.488,-0.146
22-02-0141-43,-0.285,-0.741
22-02-0139-43,1.262,0.385
22-02-0139-43,0.885,1.342
22-02-0150-43,1.398,1.456
22-02-0141-43,0.075,0.177
12-20-0023-43,0.375,0.122
12-20-0001-43,-0.042,-0.138
12-20-0023-43,1.398,-0.299
12-20-0023-43,-0.209,-0.43
12-20-0001-43,-0.087,-0.426
12-20-0833-43,0.375,-0.279
12-20-0023-43,-0.042,-2.146
12-20-0023-43,-0.467,0.0
12-20-0833-43,-0.162,-0.369
12-20-0023-43,0.075,-3.342
12-20-0833-43,0.83,0.394
12-20-0023-43,1.746,-0.519
12-20-0833-43,-0.042,-0.754
12-20-0001-43,1.191,-1.235
12-20-0023-43,1.454,1.35
12-20-0001-43,1.262,0.046
12-20-0001-43,1.007,0.254
12-20-0001-43,0.147,0.261
12-20-0001-43,-0.209,-0.43
12-20-0833-43,0.948,1.322
12-20-0023-43,-0.162,-1.325
12-20-0833-43,0.42,0.907
12-20-0023-43,-0.162,-3.42
12-20-0833-43,1.068,0.763
12-20-0001-43,-0.832,-0.741
12-20-0023-43,-0.042,-1.466
12-20-0001-43,-0.335,-0.611
12-20-0001-43,1.007,0.128
04-16-2462-43,1.007,0.816
04-16-0533-43,1.595,0.775
04-16-0533-43,1.746,1.35
04-16-0533-43,2.283,2.395
04-16-0533-43,1.068,-0.279
04-16-0532-43,-3.332,0.122
04-16-0532-43,0.075,-1.235
04-16-0532-43,-0.991,0.265
04-16-2462-43,-0.042,-0.58
04-16-0533-43,1.746,0.385
04-16-0533-43,1.694,1.197
04-16-0533-43,2.283,1.081
04-16-0533-43,4.259,1.494
04-16-2462-43,1.007,-0.154
04-16-0533-43,1.068,0.526
04-16-2462-43,3.52,1.041
04-16-0533-43,-0.832,-0.007
04-16-2462-43,1.859,0.305
04-16-0533-43,1.542,0.505
04-16-0533-43,1.068,0.396
04-16-0532-43,1.595,0.907
04-16-0533-43,3.554,1.503
04-16-2462-43,0.948,0.249
04-16-2462-43,1.595,1.081
04-16-0533-43,2.238,1.837
04-16-0533-43,1.132,0.656
04-16-0533-43,3.105,2.454
04-16-0533-43,1.694,0.645
04-16-0533-43,1.908,0.122
04-16-0533-43,2.509,0.893
04-16-0533-43,1.859,0.907
04-16-0533-43,3.52,1.964
04-16-2462-43,2.085,0.787
04-16-0533-43,1.859,2.228
04-16-0532-43,-0.412,0.305
04-16-0533-43,3.068,1.361
04-16-0532-43,0.031,0.12
04-16-0533-43,0.601,-0.088
04-16-2462-43,-0.285,-0.288
04-16-0532-43,-0.209,-0.088
04-16-2462-43,2.283,1.204
04-16-0532-43,-0.087,-0.45
04-16-0532-43,1.007,0.254
04-16-0532-43,1.191,1.51
04-16-0532-43,-0.412,0.378
04-16-0533-43,1.454,0.763
04-16-0533-43,1.262,0.79
04-16-0532-43,0.375,0.0
04-16-0532-43,0.948,0.505
04-16-0533-43,2.085,0.79
04-16-2462-43,0.375,0.515
04-16-0532-43,1.262,0.79
04-16-2462-43,2.085,0.763
04-16-0532-43,0.147,0.525
04-16-2462-43,0.488,-0.014
04-16-0533-43,1.542,0.645
04-16-0532-43,1.32,-0.426
04-16-0532-43,-0.285,-0.59
04-16-0533-43,3.068,2.411
04-16-2462-43,0.649,0.505
04-16-0533-43,1.454,1.204
04-16-0532-43,0.375,-0.436
04-16-0533-43,1.542,0.56
04-16-2462-43,2.085,0.656
04-16-0532-43,0.649,0.526
04-16-0532-43,-0.042,-0.43
04-16-2462-43,0.42,0.261
04-16-2462-43,0.649,0.134
04-16-2462-43,1.191,0.925
04-16-0533-43,0.766,1.165
04-16-0532-43,1.068,0.657
04-16-2462-43,-0.209,-0.369
12-13-0013-43,0.075,-0.436
12-13-0013-43,1.191,
12-13-0020-43,1.32,-0.007
12-13-0020-43,0.42,-0.288
12-13-0016-43,1.398,1.197
12-13-0013-43,0.075,0.177
12-13-0013-43,1.32,0.645
12-13-0020-43,-0.832,-0.426
12-13-0016-43,-0.087,-4.614
12-13-0016-43,-0.209,-1.098
12-13-0013-43,1.132,
12-13-0016-43,-0.335,-2.024
12-13-0016-43,1.068,1.361
12-13-0016-43,-0.412,-0.783
12-13-0013-43,0.031,0.0
12-13-0013-43,-0.605,0.122
12-13-0016-43,0.42,-2.525
12-13-0016-43,0.42,-0.847
12-13-0020-43,-0.285,0.177
12-13-0020-43,-0.285,0.505
12-13-0020-43,0.948,0.645
12-13-0016-43,0.075,-1.098
12-13-0013-43,-0.605,
12-13-0013-43,0.375,0.505
12-13-0013-43,-0.412,-0.279
12-13-0013-43,-0.752,-1.325
12-13-0016-43,0.42,-0.918
12-13-0016-43,1.746,0.122
12-13-0020-43,-0.412,0.433
12-13-0013-43,0.715,0.633
12-13-0020-43,1.542,1.179
12-13-0016-43,-0.335,-1.117
12-13-0020-43,0.305,-0.611
12-13-0020-43,0.715,-0.58
12-13-0013-43,0.075,0.249
12-13-0013-43,-0.162,-0.146
12-13-0016-43,0.715,0.134
12-13-0013-43,0.075,0.261
12-13-0020-43,-0.605,0.177
12-13-0013-43,0.83,0.396
12-13-0020-43,1.32,-0.012
12-13-0013-43,1.454,-0.43
12-13-0016-43,0.601,0.134
12-13-0016-43,0.488,-1.325
12-13-0016-43,-0.285,0.515
12-13-0016-43,1.542,0.128
12-13-0013-43,0.191,-0.847
12-13-0016-43,-0.209,-0.912
12-13-0013-43,2.466,0.645
12-13-0016-43,1.262,-0.012
12-13-0020-43,-0.467,-0.138
12-13-0016-43,-0.042,-0.436
12-13-0013-43,0.031,0.526
12-13-0013-43,1.398,0.947
12-13-0020-43,0.147,-0.754
