Cod_Estab,measure_L,measure_M
09-13-0375-43,-0.752,-0.299
09-13-3878-43,0.305,0.177
09-13-0373-43,0.948,-0.146
09-13-0373-43,1.694,0.657
09-13-3878-43,0.191,1.027
09-13-3878-43,0.262,-0.286
09-13-0375-43,0.766,0.816
09-13-3878-43,1.859,1.322
09-13-3878-43,0.715,-0.012
09-13-0375-43,0.031,-0.279
09-13-0375-43,-0.545,0.394
09-13-0373-43,2.038,1.307
09-13-3878-43,1.908,0.046
09-13-0373-43,-0.335,1.057
09-13-0373-43,0.766,1.062
09-13-3878-43,0.305,0.134
09-13-3878-43,0.885,0.925
09-13-0373-43,-0.087,-0.43
09-13-3878-43,0.601,0.657
09-13-0373-43,-0.042,-0.138
09-13-0375-43,0.075,-0.426
09-13-0373-43,0.075,-0.288
09-13-3878-43,0.601,0.775
09-13-0375-43,-0.087,-0.43
09-13-0373-43,1.068,0.645
09-13-0375-43,0.191,-0.912
09-13-0373-43,-0.335,-0.286
09-13-3878-43,0.42,0.816
09-13-0373-43,0.715,-0.581
09-13-3878-43,0.534,1.041
09-13-0373-43,1.859,0.396
09-13-0373-43,0.375,0.305
09-13-3878-43,0.147,0.947
09-13-0373-43,1.398,1.218
09-13-3878-43,1.132,0.515
09-13-3878-43,0.948,0.526
09-13-0373-43,0.766,1.629
09-13-0373-43,1.908,1.041
09-13-0373-43,0.534,-0.012
03-14-0985-43,1.746,0.657
03-14-0196-43,1.595,1.179
03-14-0985-43,-0.042,-0.581
03-14-0985-43,-0.911,1.062
03-14-0985-43,1.191,0.56
03-14-0196-43,2.238,1.204
03-14-0985-43,0.147,-0.138
03-14-0196-43,1.007,0.775
03-14-0196-43,0.948,0.688
03-14-0985-43,-0.605,0.122
03-14-0985-43,0.649,0.177
03-14-0196-43,2.775,1.204
03-14-0196-43,-0.285,0.763
03-14-0985-43,0.147,0.12
03-14-0985-43,-0.042,0.261
03-14-0985-43,-0.467,0.0
03-14-0196-43,1.694,1.041
03-14-0985-43,0.375,-0.012
03-14-0196-43,1.32,0.787
03-14-0196-43,1.746,1.837
03-14-0985-43,-0.285,0.122
03-14-0196-43,1.262,1.027
03-14-0196-43,0.766,1.057
03-14-0196-43,1.398,1.613
03-14-0196-43,2.466,1.782
03-14-0196-43,2.038,1.361
03-14-0196-43,2.735,1.494
03-14-0196-43,2.509,2.022
