,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace,LastGrade_aux,y_pred,PrecisionLastGrade_4,RecallLastGrade_4,F1LastGrade_4,predLastGrade_4,PrecisionLastGrade_5,RecallLastGrade_5,F1LastGrade_5,predLastGrade_5,PrecisionLastGrade_6,RecallLastGrade_6,F1LastGrade_6,predLastGrade_6,PrecisionLastGrade_7,RecallLastGrade_7,F1LastGrade_7,predLastGrade_7,PrecisionLastGrade_8,RecallLastGrade_8,F1LastGrade_8,predLastGrade_8,PrecisionLastGrade_9,RecallLastGrade_9,F1LastGrade_9,predLastGrade_9
18,06-09-0262-43,1.398,0.394,C923KQF,3,0,0,0,0,0,0,2.607234528594313,0.6661640374548371,-1.9842198682562318,0,1,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,1,0.54,0.14,0.22,1
19,12-15-3252-43,-0.752,-1.031,C354EXQ,3,0,0,0,0,0,0,-1.3308594818001989,-0.9328628773532402,1.8981908413772417,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
20,04-09-0441-43,0.262,0.515,D371RWN,3,0,0,0,0,0,0,0.244674347199779,1.0136337422627284,-0.5968934036777817,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,0,0.54,0.14,0.22,0
21,04-06-0320-43,-0.684,-0.847,C419DPN,3,0,0,0,0,0,0,-1.1120827144164829,-1.2528171729936397,1.9771331312660163,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
22,04-09-0441-43,0.147,0.265,D628SHL,3,0,0,0,0,0,0,0.13727911846705157,0.5215785275720836,-0.16780556289226478,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
23,04-06-0320-43,-0.335,-0.58,C717VWL,3,0,0,0,0,0,0,-0.5446603937566108,-0.8578913345174864,1.2991524776902212,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
24,04-06-0017-43,-0.684,-1.536,C918ZHU,3,0,0,0,0,0,0,-1.8487583755119041,-1.8226089969157477,2.8984740488398173,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
25,21-02-0129-43,0.42,0.378,C290FCE,3,0,0,0,0,0,0,0.6558111766860593,0.5204814326123677,-0.5264683685929004,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,0,0.54,0.14,0.22,0
26,21-02-0120-43,-0.684,-0.59,C516YSF,3,0,0,0,0,0,0,-4.310134991243413,-0.7506938525482592,3.8321703190261136,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
27,21-02-0149-43,0.075,0.0,C913UXF,3,0,0,0,0,0,0,0.10708466518001944,0.0,0.22904404402962908,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
28,21-02-0129-43,-0.209,-0.519,C914FQX,3,0,0,0,0,0,0,-0.32634413316044375,-0.7146292685868223,1.0445590861260134,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
